student_id,checked_at,ip,device_name,token,qr_generated_at,anomaly_flags
202411075,2025-10-29 22:50:22,114.71.101.21,Iphone,EdCW34dwn0oHJ6tYCD_BTrPmGg3YnEyf,2025-10-29 22:49:37,
202111179,2025-10-29 22:53:50,114.71.101.22,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, li",xLI58oYrBFopSXLXQFAMRr1Lfq9uOOR2,2025-10-29 22:53:46,
202111179,2025-10-29 23:07:26,114.71.101.23,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, li",hnVLfoUuucY4orRUCRrgcgYRHdpqEBdh,2025-10-29 23:07:17,
