session_date,student_id,excuse_type,evidence_ok,notes,mail_time
2025-10-30,10203186,기타,0,게이밍 페스티벌 참여,
2025-10-30,444774574,기타,0,게임 페스티벌 참여,
2025-10-30,20545080,기타,0,GeForce Gamer Festival - Seoul,
